LTPII ALS_24Oct00
Surface data
C:\Beamline Controls\BCS Setup Data\240611\AutoColl 2301\AC_Raw_Y2301-avg.dat
2024-06-11 10:28:40
checking coordiantes 100 um steps
Number of data: 21
Analysis: Autocollimator
2024-06-11 10:28:40
History:
Data Type: SLOPE
Step size: 0.10
X unit: mm
Z unit: rad
Piston:2
Tilt: 9.06394755102215e-003
Curvature: 0.00000000000000e+000



Focal length: 1250.000000
Optical mult: 1.011030
Wavelength: 0.000670
Temperatures: Not available
Scan type: MEAS
X resolution: 0.000040
Margin,speed or margin: 10.000000,2.000000
Camera type: Cronin dual opposed array, EPP
	
	
	
	
	
	
	
	
	
	

*Data starts.
-155.000000000000	0.000140676775	g
-154.900000000000	0.000140265492	g
-154.800000000000	0.000139884509	g
-154.700000000000	0.000139406159	g
-154.600000000000	0.000139034873	g
-154.500000000000	0.000138616317	g
-154.400000000000	0.000138333105	g
-154.300000000000	0.000138012320	g
-154.200000000000	0.000137696383	g
-154.100000000000	0.000137375194	g
-154.000000000000	0.000136984111	g
-153.900000000000	0.000137001887	g
-153.800000000000	0.000136703727	g
-153.700000000000	0.000136454452	g
-153.600000000000	0.000136329612	g
-153.500000000000	0.000136168008	g
-153.400000000000	0.000136101750	g
-153.300000000000	0.000135848839	g
-153.200000000000	0.000135741372	g
-153.100000000000	0.000135753492	g
-153.000000000000	0.000135876312	g
