LTPII ALS_24Oct00
Surface data
C:\Beamline Controls\BCS Setup Data\240611\AutoColl 2301\AC_XR2301-002.dat
2024-06-11 10:27:25
checking coordiantes 100 um steps
Number of data: 21
Analysis: Autocollimator
2024-06-11 10:27:25
History:
Data Type: SLOPE
Step size: 0.10
X unit: mm
Z unit: rad
Piston:2
Tilt: 9.06394755102215e-003
Curvature: 0.00000000000000e+000



Focal length: 1250.000000
Optical mult: 1.011030
Wavelength: 0.000670
Temperatures: Not available
Scan type: MEAS
X resolution: 0.000040
Margin,speed or margin: 10.000000,2.000000
Camera type: Cronin dual opposed array, EPP
	
	
	
	
	
	
	
	
	
	

*Data starts.

-155.000000000000	0.000000000000	g
-154.900000000000	0.000000000000	g
-154.799920000000	0.000000000000	g
-154.699980000000	0.000000000000	g
-154.600000000000	0.000000000000	g
-154.499980000000	0.000000000000	g
-154.400040000000	0.000000000000	g
-154.299980000000	0.000000000000	g
-154.200020000000	0.000000000000	g
-154.100020000000	0.000000000000	g
-154.000000000000	0.000000000000	g
-153.900020000000	0.000000000000	g
-153.799980000000	0.000000000000	g
-153.699980000000	0.000000000000	g
-153.600000000000	0.000000000000	g
-153.499980000000	0.000000000000	g
-153.400020000000	0.000000000000	g
-153.299980000000	0.000000000000	g
-153.200000000000	0.000000000000	g
-153.099980000000	0.000000000000	g
-153.000020000000	0.000000000000	g

