LTPII ALS_24Oct00
Surface data
C:\Beamline Controls\BCS Setup Data\240611\AutoColl 2301\AC_Raw_X2301-avg.dat
2024-06-11 10:28:40
checking coordiantes 100 um steps
Number of data: 21
Analysis: Autocollimator
2024-06-11 10:28:40
History:
Data Type: SLOPE
Step size: 0.10
X unit: mm
Z unit: rad
Piston:2
Tilt: 9.06394755102215e-003
Curvature: 0.00000000000000e+000



Focal length: 1250.000000
Optical mult: 1.011030
Wavelength: 0.000670
Temperatures: Not available
Scan type: MEAS
X resolution: 0.000040
Margin,speed or margin: 10.000000,2.000000
Camera type: Cronin dual opposed array, EPP
	
	
	
	
	
	
	
	
	
	

*Data starts.
-155.000000000000	NaN	g
-154.900000000000	NaN	g
-154.800000000000	NaN	g
-154.700000000000	NaN	g
-154.600000000000	NaN	g
-154.500000000000	NaN	g
-154.400000000000	NaN	g
-154.300000000000	NaN	g
-154.200000000000	6.804077471508E-5	g
-154.100000000000	7.907796260700E-5	g
-154.000000000000	8.581566100275E-5	g
-153.900000000000	8.925177810150E-5	g
-153.800000000000	9.329350831383E-5	g
-153.700000000000	9.869837304600E-5	g
-153.600000000000	0.000102684350	g
-153.500000000000	0.000106144303	g
-153.400000000000	0.000107893673	g
-153.300000000000	0.000107682779	g
-153.200000000000	0.000106072793	g
-153.100000000000	0.000103430963	g
-153.000000000000	9.963244744133E-5	g
