LTPII ALS_24Oct00
Surface data
C:\Beamline Controls\BCS Setup Data\240611\AutoColl 2303\AC_Raw_Y2303-avg.dat
2024-06-11 10:51:13
checking coordiantes 50 um steps
Number of data: 21
Analysis: Autocollimator
2024-06-11 10:51:13
History:
Data Type: SLOPE
Step size: 0.05
X unit: mm
Z unit: rad
Piston:2
Tilt: 9.06394755102215e-003
Curvature: 0.00000000000000e+000



Focal length: 1250.000000
Optical mult: 1.011030
Wavelength: 0.000670
Temperatures: Not available
Scan type: MEAS
X resolution: 0.000040
Margin,speed or margin: 10.000000,2.000000
Camera type: Cronin dual opposed array, EPP
	
	
	
	
	
	
	
	
	
	

*Data starts.
-154.500000000000	0.000139179913	g
-154.450000000000	0.000138879733	g
-154.400000000000	0.000138549251	g
-154.350000000000	0.000138409867	g
-154.300000000000	0.000138379566	g
-154.250000000000	0.000138235738	g
-154.200000000000	0.000137988483	g
-154.150000000000	0.000138113727	g
-154.100000000000	0.000137860816	g
-154.050000000000	0.000137752541	g
-154.000000000000	0.000137483469	g
-153.950000000000	0.000137429736	g
-153.900000000000	0.000137370346	g
-153.850000000000	0.000137197833	g
-153.800000000000	0.000137085114	g
-153.750000000000	0.000137105314	g
-153.700000000000	0.000137039865	g
-153.650000000000	0.000136736048	g
-153.600000000000	0.000136916237	g
-153.550000000000	0.000136921489	g
-153.500000000000	0.000136669790	g
